name,generation,type_1,type_2
Mega Gengar,1,Ghost,Poison
Onix,1,Rock,Ground
Drowzee,1,Psychic,
Hypno,1,Psychic,
Krabby,1,Water,
Kingler,1,Water,
Voltorb,1,Electric,
Electrode,1,Electric,
Exeggcute,1,Grass,Psychic
Exeggutor,1,Grass,Psychic
Alolan Exeggutor,1,Grass,Dragon
Cubone,1,Ground,
Marowak,1,Ground,
Alolan Marowak,1,Fire,Ghost
Hitmonlee,1,Fighting,
Hitmonchan,1,Fighting,
Lickitung,1,Normal,
Koffing,1,Poison,
Weezing,1,Poison,
Galarian Weezing,1,Poison,Fairy
Rhyhorn,1,Ground,Rock
Rhydon,1,Ground,Rock
Chansey,1,Normal,
Tangela,1,Grass,
Kangaskhan,1,Normal,
Mega Kangaskhan,1,Normal,
Horsea,1,Water,
Seadra,1,Water,
Goldeen,1,Water,
Seaking,1,Water,
Staryu,1,Water,
Starmie,1,Water,Psychic
Mr. Mime,1,Psychic,Fairy
Galarian Mr. Mime,1,Psychic,Ice
Scyther,1,Bug,Flying
Jynx,1,Ice,Psychic
Electabuzz,1,Electric,
Magmar,1,Fire,
Pinsir,1,Bug,
Mega Pinsir,1,Bug,Flying
Tauros,1,Normal,
Magikarp,1,Water,
Gyarados,1,Water,Flying
Mega Gyarados,1,Water,Dark
Lapras,1,Water,Ice
Ditto,1,Normal,
Eevee,1,Normal,
Partner Eevee,1,Normal,
Vaporeon,1,Water,
Jolteon,1,Electric,
Flareon,1,Fire,
Porygon,1,Normal,
Omanyte,1,Rock,Water
Omastar,1,Rock,Water
Kabuto,1,Rock,Water
Kabutops,1,Rock,Water
Aerodactyl,1,Rock,Flying
Mega Aerodactyl,1,Rock,Flying
Snorlax,1,Normal,
Articuno,1,Ice,Flying
Zapdos,1,Electric,Flying
Moltres,1,Fire,Flying
Dratini,1,Dragon,
Dragonair,1,Dragon,
Dragonite,1,Dragon,Flying
Mewtwo,1,Psychic,
Mega Mewtwo X,1,Psychic,Fighting
Mega Mewtwo Y,1,Psychic,
Mew,1,Psychic,
Chikorita,2,Grass,
Bayleef,2,Grass,
Meganium,2,Grass,
Cyndaquil,2,Fire,
Quilava,2,Fire,
Typhlosion,2,Fire,
Totodile,2,Water,
Croconaw,2,Water,
Feraligatr,2,Water,
Sentret,2,Normal,
Furret,2,Normal,
Hoothoot,2,Normal,Flying
Noctowl,2,Normal,Flying
Ledyba,2,Bug,Flying
Ledian,2,Bug,Flying
Spinarak,2,Bug,Poison
Ariados,2,Bug,Poison
Crobat,2,Poison,Flying
Chinchou,2,Water,Electric
Lanturn,2,Water,Electric
Pichu,2,Electric,
Cleffa,2,Fairy,
Igglybuff,2,Normal,Fairy
Togepi,2,Fairy,
Togetic,2,Fairy,Flying
Natu,2,Psychic,Flying
Xatu,2,Psychic,Flying
Mareep,2,Electric,
Flaaffy,2,Electric,
Ampharos,2,Electric,
Mega Ampharos,2,Electric,Dragon
Bellossom,2,Grass,
Marill,2,Water,Fairy
Azumarill,2,Water,Fairy
Sudowoodo,2,Rock,
Politoed,2,Water,
Hoppip,2,Grass,Flying
Skiploom,2,Grass,Flying
Jumpluff,2,Grass,Flying
Aipom,2,Normal,
Sunkern,2,Grass,
Sunflora,2,Grass,
Yanma,2,Bug,Flying
Wooper,2,Water,Ground
Quagsire,2,Water,Ground
Espeon,2,Psychic,
Umbreon,2,Dark,
Murkrow,2,Dark,Flying
Slowking,2,Water,Psychic
Misdreavus,2,Ghost,
Unown,2,Psychic,
Wobbuffet,2,Psychic,
Girafarig,2,Normal,Psychic
Pineco,2,Bug,
Forretress,2,Bug,Steel
Dunsparce,2,Normal,
Gligar,2,Ground,Flying
Steelix,2,Steel,Ground
Mega Steelix,2,Steel,Ground
Snubbull,2,Fairy,
Granbull,2,Fairy,
Qwilfish,2,Water,Poison
Scizor,2,Bug,Steel
Mega Scizor,2,Bug,Steel
Shuckle,2,Bug,Rock
Heracross,2,Bug,Fighting
Mega Heracross,2,Bug,Fighting
Sneasel,2,Dark,Ice
Teddiursa,2,Normal,
Ursaring,2,Normal,
Slugma,2,Fire,
Magcargo,2,Fire,Rock
Swinub,2,Ice,Ground
Piloswine,2,Ice,Ground
Corsola,2,Water,Rock
Galarian Corsola,2,Ghost,
Remoraid,2,Water,
Octillery,2,Water,
Delibird,2,Ice,Flying
Mantine,2,Water,Flying
Skarmory,2,Steel,Flying
Houndour,2,Dark,Fire
Houndoom,2,Dark,Fire
Mega Houndoom,2,Dark,Fire
Kingdra,2,Water,Dragon
Phanpy,2,Ground,
Donphan,2,Ground,
Porygon2,2,Normal,
Stantler,2,Normal,
Smeargle,2,Normal,
Tyrogue,2,Fighting,
Hitmontop,2,Fighting,
Smoochum,2,Ice,Psychic
Elekid,2,Electric,
Magby,2,Fire,
Miltank,2,Normal,
Blissey,2,Normal,
Raikou,2,Electric,
Entei,2,Fire,
Suicune,2,Water,
Larvitar,2,Rock,Ground
Pupitar,2,Rock,Ground
Tyranitar,2,Rock,Dark
Mega Tyranitar,2,Rock,Dark
Lugia,2,Psychic,Flying
Ho-oh,2,Fire,Flying
Celebi,2,Psychic,Grass
Treecko,3,Grass,
Grovyle,3,Grass,
Sceptile,3,Grass,
Mega Sceptile,3,Grass,Dragon
Torchic,3,Fire,
Combusken,3,Fire,Fighting
Blaziken,3,Fire,Fighting
Mega Blaziken,3,Fire,Fighting
Mudkip,3,Water,
Marshtomp,3,Water,Ground
Swampert,3,Water,Ground
Mega Swampert,3,Water,Ground
Poochyena,3,Dark,
Mightyena,3,Dark,
Zigzagoon,3,Normal,
Galarian Zigzagoon,3,Dark,Normal
Linoone,3,Normal,
Galarian Linoone,3,Dark,Normal
Wurmple,3,Bug,
Silcoon,3,Bug,
Beautifly,3,Bug,Flying
Cascoon,3,Bug,
Dustox,3,Bug,Poison
Lotad,3,Water,Grass
Lombre,3,Water,Grass
Ludicolo,3,Water,Grass
Seedot,3,Grass,
Nuzleaf,3,Grass,Dark
Shiftry,3,Grass,Dark
Taillow,3,Normal,Flying
Swellow,3,Normal,Flying
Wingull,3,Water,Flying
Pelipper,3,Water,Flying
Ralts,3,Psychic,Fairy
Kirlia,3,Psychic,Fairy
Gardevoir,3,Psychic,Fairy
Mega Gardevoir,3,Psychic,Fairy
Surskit,3,Bug,Water
Masquerain,3,Bug,Flying
Shroomish,3,Grass,
Breloom,3,Grass,Fighting
Slakoth,3,Normal,
Vigoroth,3,Normal,
Slaking,3,Normal,
Nincada,3,Bug,Ground
Ninjask,3,Bug,Flying
Shedinja,3,Bug,Ghost
Whismur,3,Normal,
Loudred,3,Normal,
Exploud,3,Normal,
Makuhita,3,Fighting,
Hariyama,3,Fighting,
Azurill,3,Normal,Fairy
Nosepass,3,Rock,
Skitty,3,Normal,
Delcatty,3,Normal,
Sableye,3,Dark,Ghost
Mega Sableye,3,Dark,Ghost
Mawile,3,Steel,Fairy
Mega Mawile,3,Steel,Fairy
Aron,3,Steel,Rock
Lairon,3,Steel,Rock
Aggron,3,Steel,Rock
Mega Aggron,3,Steel,
Meditite,3,Fighting,Psychic
Medicham,3,Fighting,Psychic
Mega Medicham,3,Fighting,Psychic
Electrike,3,Electric,
Manectric,3,Electric,
Mega Manectric,3,Electric,
Plusle,3,Electric,
Minun,3,Electric,
Volbeat,3,Bug,
Illumise,3,Bug,
Roselia,3,Grass,Poison
Gulpin,3,Poison,
Swalot,3,Poison,
Carvanha,3,Water,Dark
Sharpedo,3,Water,Dark
Mega Sharpedo,3,Water,Dark
Wailmer,3,Water,
Wailord,3,Water,
Numel,3,Fire,Ground
Camerupt,3,Fire,Ground
Mega Camerupt,3,Fire,Ground
Torkoal,3,Fire,
Spoink,3,Psychic,
Grumpig,3,Psychic,
Spinda,3,Normal,
Trapinch,3,Ground,
Vibrava,3,Ground,Dragon
Flygon,3,Ground,Dragon
Cacnea,3,Grass,
Cacturne,3,Grass,Dark
Swablu,3,Normal,Flying
Altaria,3,Dragon,Flying
Mega Altaria,3,Dragon,Fairy
Zangoose,3,Normal,
Seviper,3,Poison,
Lunatone,3,Rock,Psychic
Solrock,3,Rock,Psychic
Barboach,3,Water,Ground
Whiscash,3,Water,Ground
Corphish,3,Water,
Crawdaunt,3,Water,Dark
Baltoy,3,Ground,Psychic
Claydol,3,Ground,Psychic
Lileep,3,Rock,Grass
Cradily,3,Rock,Grass
Anorith,3,Rock,Bug
Armaldo,3,Rock,Bug
Feebas,3,Water,
Milotic,3,Water,
Castform,3,Normal,
Castform Sunny Form,3,Fire,
Castform Rainy Form,3,Water,
Castform Snowy Form,3,Ice,
Kecleon,3,Normal,
Shuppet,3,Ghost,
Banette,3,Ghost,
Mega Banette,3,Ghost,
Duskull,3,Ghost,
Dusclops,3,Ghost,
Tropius,3,Grass,Flying
Chimecho,3,Psychic,
Absol,3,Dark,
Mega Absol,3,Dark,
Wynaut,3,Psychic,
Snorunt,3,Ice,
Glalie,3,Ice,
Mega Glalie,3,Ice,
Spheal,3,Ice,Water
Sealeo,3,Ice,Water
Walrein,3,Ice,Water
Clamperl,3,Water,
Huntail,3,Water,
Gorebyss,3,Water,
Relicanth,3,Water,Rock
Luvdisc,3,Water,
Bagon,3,Dragon,
Shelgon,3,Dragon,
Salamence,3,Dragon,Flying
Mega Salamence,3,Dragon,Flying
Beldum,3,Steel,Psychic
Metang,3,Steel,Psychic
Metagross,3,Steel,Psychic
Mega Metagross,3,Steel,Psychic
Regirock,3,Rock,
Regice,3,Ice,
Registeel,3,Steel,
Latias,3,Dragon,Psychic
Mega Latias,3,Dragon,Psychic
Latios,3,Dragon,Psychic
Mega Latios,3,Dragon,Psychic
Kyogre,3,Water,
Primal Kyogre,3,Water,
Groudon,3,Ground,
Primal Groudon,3,Ground,Fire
Rayquaza,3,Dragon,Flying
Mega Rayquaza,3,Dragon,Flying
Jirachi,3,Steel,Psychic
Deoxys Normal Forme,3,Psychic,
Deoxys Attack Forme,3,Psychic,
Deoxys Defense Forme,3,Psychic,
Deoxys Speed Forme,3,Psychic,
Turtwig,4,Grass,
Grotle,4,Grass,
Torterra,4,Grass,Ground
Chimchar,4,Fire,
Monferno,4,Fire,Fighting
Infernape,4,Fire,Fighting
Piplup,4,Water,
Prinplup,4,Water,
Empoleon,4,Water,Steel
Starly,4,Normal,Flying
Staravia,4,Normal,Flying
Staraptor,4,Normal,Flying
Bidoof,4,Normal,
Bibarel,4,Normal,Water
Kricketot,4,Bug,
Kricketune,4,Bug,
Shinx,4,Electric,
Luxio,4,Electric,
Luxray,4,Electric,
Budew,4,Grass,Poison
Roserade,4,Grass,Poison
Cranidos,4,Rock,
Rampardos,4,Rock,
Shieldon,4,Rock,Steel
Bastiodon,4,Rock,Steel
Burmy,4,Bug,
Wormadam Plant Cloak,4,Bug,Grass
Wormadam Sandy Cloak,4,Bug,Ground
Wormadam Trash Cloak,4,Bug,Steel
Mothim,4,Bug,Flying
Combee,4,Bug,Flying
Vespiquen,4,Bug,Flying
Pachirisu,4,Electric,
Buizel,4,Water,
Floatzel,4,Water,
Cherubi,4,Grass,
Cherrim,4,Grass,
Shellos,4,Water,
Gastrodon,4,Water,Ground
Ambipom,4,Normal,
Drifloon,4,Ghost,Flying
Drifblim,4,Ghost,Flying
Buneary,4,Normal,
Lopunny,4,Normal,
Mega Lopunny,4,Normal,Fighting
Mismagius,4,Ghost,
Honchkrow,4,Dark,Flying
Glameow,4,Normal,
Purugly,4,Normal,
Chingling,4,Psychic,
Stunky,4,Poison,Dark
Skuntank,4,Poison,Dark
Bronzor,4,Steel,Psychic
Bronzong,4,Steel,Psychic
Bonsly,4,Rock,
Mime Jr.,4,Psychic,Fairy
Happiny,4,Normal,
Chatot,4,Normal,Flying
Spiritomb,4,Ghost,Dark
Gible,4,Dragon,Ground
Gabite,4,Dragon,Ground
Garchomp,4,Dragon,Ground
Mega Garchomp,4,Dragon,Ground
Munchlax,4,Normal,
Riolu,4,Fighting,
Lucario,4,Fighting,Steel
Mega Lucario,4,Fighting,Steel
Hippopotas,4,Ground,
Hippowdon,4,Ground,
Skorupi,4,Poison,Bug
Drapion,4,Poison,Dark
Croagunk,4,Poison,Fighting
Toxicroak,4,Poison,Fighting
Carnivine,4,Grass,
Finneon,4,Water,
Lumineon,4,Water,
Mantyke,4,Water,Flying
Snover,4,Grass,Ice
Abomasnow,4,Grass,Ice
Mega Abomasnow,4,Grass,Ice
Weavile,4,Dark,Ice
Magnezone,4,Electric,Steel
Lickilicky,4,Normal,
Rhyperior,4,Ground,Rock
Tangrowth,4,Grass,
Electivire,4,Electric,
Magmortar,4,Fire,
Togekiss,4,Fairy,Flying
Yanmega,4,Bug,Flying
Leafeon,4,Grass,
Glaceon,4,Ice,
Gliscor,4,Ground,Flying
Mamoswine,4,Ice,Ground
Porygon-Z,4,Normal,
Gallade,4,Psychic,Fighting
Mega Gallade,4,Psychic,Fighting
Probopass,4,Rock,Steel
Dusknoir,4,Ghost,
Froslass,4,Ice,Ghost
Rotom,4,Electric,Ghost
Heat Rotom,4,Electric,Fire
Wash Rotom,4,Electric,Water
Frost Rotom,4,Electric,Ice
Fan Rotom,4,Electric,Flying
Mow Rotom,4,Electric,Grass
Uxie,4,Psychic,
Mesprit,4,Psychic,
Azelf,4,Psychic,
Dialga,4,Steel,Dragon
Palkia,4,Water,Dragon
Heatran,4,Fire,Steel
Regigigas,4,Normal,
Giratina Altered Forme,4,Ghost,Dragon
Giratina Origin Forme,4,Ghost,Dragon
Cresselia,4,Psychic,
Phione,4,Water,
Manaphy,4,Water,
Darkrai,4,Dark,
Shaymin Land Forme,4,Grass,
Shaymin Sky Forme,4,Grass,Flying
Arceus,4,Normal,
Victini,5,Psychic,Fire
Snivy,5,Grass,
Servine,5,Grass,
Serperior,5,Grass,
Tepig,5,Fire,
Pignite,5,Fire,Fighting
Emboar,5,Fire,Fighting
Oshawott,5,Water,
Dewott,5,Water,
Samurott,5,Water,
Patrat,5,Normal,
Watchog,5,Normal,
Lillipup,5,Normal,
Herdier,5,Normal,
Stoutland,5,Normal,
Purrloin,5,Dark,
Liepard,5,Dark,
Pansage,5,Grass,
Simisage,5,Grass,
Pansear,5,Fire,
Simisear,5,Fire,
Panpour,5,Water,
Simipour,5,Water,
Munna,5,Psychic,
Musharna,5,Psychic,
Pidove,5,Normal,Flying
Tranquill,5,Normal,Flying
Unfezant,5,Normal,Flying
Blitzle,5,Electric,
Zebstrika,5,Electric,
Roggenrola,5,Rock,
Boldore,5,Rock,
Gigalith,5,Rock,
Woobat,5,Psychic,Flying
Swoobat,5,Psychic,Flying
Drilbur,5,Ground,
Excadrill,5,Ground,Steel
Audino,5,Normal,
Mega Audino,5,Normal,Fairy
Timburr,5,Fighting,
Gurdurr,5,Fighting,
Conkeldurr,5,Fighting,
Tympole,5,Water,
Palpitoad,5,Water,Ground
Seismitoad,5,Water,Ground
Throh,5,Fighting,
Sawk,5,Fighting,
Sewaddle,5,Bug,Grass
Swadloon,5,Bug,Grass
Leavanny,5,Bug,Grass
Venipede,5,Bug,Poison
Whirlipede,5,Bug,Poison
Scolipede,5,Bug,Poison
Cottonee,5,Grass,Fairy
Whimsicott,5,Grass,Fairy
Petilil,5,Grass,
Lilligant,5,Grass,
Basculin Red-Striped Form,5,Water,
Basculin Blue-Striped Form,5,Water,
Sandile,5,Ground,Dark
Krokorok,5,Ground,Dark
Krookodile,5,Ground,Dark
Darumaka,5,Fire,
Galarian Darumaka,5,Ice,
Darmanitan Standard Mode,5,Fire,
Darmanitan Zen Mode,5,Fire,Psychic
Darmanitan Galarian Standard Mode,5,Ice,
Darmanitan Galarian Zen Mode,5,Ice,Fire
Maractus,5,Grass,
Dwebble,5,Bug,Rock
Crustle,5,Bug,Rock
Scraggy,5,Dark,Fighting
Scrafty,5,Dark,Fighting
Sigilyph,5,Psychic,Flying
Yamask,5,Ghost,
Galarian Yamask,5,Ground,Ghost
Cofagrigus,5,Ghost,
Tirtouga,5,Water,Rock
Carracosta,5,Water,Rock
Archen,5,Rock,Flying
Archeops,5,Rock,Flying
Trubbish,5,Poison,
Garbodor,5,Poison,
Zorua,5,Dark,
Zoroark,5,Dark,
Minccino,5,Normal,
Cinccino,5,Normal,
Gothita,5,Psychic,
Gothorita,5,Psychic,
Gothitelle,5,Psychic,
Solosis,5,Psychic,
Duosion,5,Psychic,
Reuniclus,5,Psychic,
Ducklett,5,Water,Flying
Swanna,5,Water,Flying
Vanillite,5,Ice,
Vanillish,5,Ice,
Vanilluxe,5,Ice,
Deerling,5,Normal,Grass
Sawsbuck,5,Normal,Grass
Emolga,5,Electric,Flying
Karrablast,5,Bug,
Escavalier,5,Bug,Steel
Foongus,5,Grass,Poison
Amoonguss,5,Grass,Poison
Frillish,5,Water,Ghost
Jellicent,5,Water,Ghost
Alomomola,5,Water,
Joltik,5,Bug,Electric
Galvantula,5,Bug,Electric
Ferroseed,5,Grass,Steel
Ferrothorn,5,Grass,Steel
Klink,5,Steel,
Klang,5,Steel,
Klinklang,5,Steel,
Tynamo,5,Electric,
Eelektrik,5,Electric,
Eelektross,5,Electric,
Elgyem,5,Psychic,
Beheeyem,5,Psychic,
Litwick,5,Ghost,Fire
Lampent,5,Ghost,Fire
Chandelure,5,Ghost,Fire
Axew,5,Dragon,
Fraxure,5,Dragon,
Haxorus,5,Dragon,
Cubchoo,5,Ice,
Beartic,5,Ice,
Cryogonal,5,Ice,
Shelmet,5,Bug,
Accelgor,5,Bug,
Stunfisk,5,Ground,Electric
Galarian Stunfisk,5,Ground,Steel
Mienfoo,5,Fighting,
Mienshao,5,Fighting,
Druddigon,5,Dragon,
Golett,5,Ground,Ghost
Golurk,5,Ground,Ghost
Pawniard,5,Dark,Steel
Bisharp,5,Dark,Steel
Bouffalant,5,Normal,
Rufflet,5,Normal,Flying
Braviary,5,Normal,Flying
Vullaby,5,Dark,Flying
Mandibuzz,5,Dark,Flying
Heatmor,5,Fire,
Durant,5,Bug,Steel
Deino,5,Dark,Dragon
Zweilous,5,Dark,Dragon
Hydreigon,5,Dark,Dragon
Larvesta,5,Bug,Fire
Volcarona,5,Bug,Fire
Cobalion,5,Steel,Fighting
Terrakion,5,Rock,Fighting
Virizion,5,Grass,Fighting
Tornadus Incarnate Forme,5,Flying,
Tornadus Therian Forme,5,Flying,
Thundurus Incarnate Forme,5,Electric,Flying
Thundurus Therian Forme,5,Electric,Flying
Reshiram,5,Dragon,Fire
Zekrom,5,Dragon,Electric
Landorus Incarnate Forme,5,Ground,Flying
Landorus Therian Forme,5,Ground,Flying
Kyurem,5,Dragon,Ice
Black Kyurem,5,Dragon,Ice
White Kyurem,5,Dragon,Ice
Keldeo Ordinary Forme,5,Water,Fighting
Keldeo Resolute Forme,5,Water,Fighting
Meloetta Aria Forme,5,Normal,Psychic
Meloetta Pirouette Forme,5,Normal,Fighting
Genesect,5,Bug,Steel
Chespin,6,Grass,
Quilladin,6,Grass,
Chesnaught,6,Grass,Fighting
Fennekin,6,Fire,
Braixen,6,Fire,
Delphox,6,Fire,Psychic
Froakie,6,Water,
Frogadier,6,Water,
Greninja,6,Water,Dark
Ash-Greninja,6,Water,Dark
Bunnelby,6,Normal,
Diggersby,6,Normal,Ground
Fletchling,6,Normal,Flying
Fletchinder,6,Fire,Flying
Talonflame,6,Fire,Flying
Scatterbug,6,Bug,
Spewpa,6,Bug,
Vivillon,6,Bug,Flying
Litleo,6,Fire,Normal
Pyroar,6,Fire,Normal
Flabébé,6,Fairy,
Floette,6,Fairy,
Florges,6,Fairy,
Skiddo,6,Grass,
Gogoat,6,Grass,
Pancham,6,Fighting,
Pangoro,6,Fighting,Dark
Furfrou,6,Normal,
Espurr,6,Psychic,
Meowstic Male,6,Psychic,
Meowstic Female,6,Psychic,
Honedge,6,Steel,Ghost
Doublade,6,Steel,Ghost
Aegislash Blade Forme,6,Steel,Ghost
Aegislash Shield Forme,6,Steel,Ghost
Spritzee,6,Fairy,
Aromatisse,6,Fairy,
Swirlix,6,Fairy,
Slurpuff,6,Fairy,
Inkay,6,Dark,Psychic
Malamar,6,Dark,Psychic
Binacle,6,Rock,Water
Barbaracle,6,Rock,Water
Skrelp,6,Poison,Water
Dragalge,6,Poison,Dragon
Clauncher,6,Water,
Clawitzer,6,Water,
Helioptile,6,Electric,Normal
Heliolisk,6,Electric,Normal
Tyrunt,6,Rock,Dragon
Tyrantrum,6,Rock,Dragon
Amaura,6,Rock,Ice
Aurorus,6,Rock,Ice
Sylveon,6,Fairy,
Hawlucha,6,Fighting,Flying
Dedenne,6,Electric,Fairy
Carbink,6,Rock,Fairy
Goomy,6,Dragon,
Sliggoo,6,Dragon,
Goodra,6,Dragon,
Klefki,6,Steel,Fairy
Phantump,6,Ghost,Grass
Trevenant,6,Ghost,Grass
Pumpkaboo Average Size,6,Ghost,Grass
Pumpkaboo Small Size,6,Ghost,Grass
Pumpkaboo Large Size,6,Ghost,Grass
Pumpkaboo Super Size,6,Ghost,Grass
Gourgeist Average Size,6,Ghost,Grass
Gourgeist Small Size,6,Ghost,Grass
Gourgeist Large Size,6,Ghost,Grass
Gourgeist Super Size,6,Ghost,Grass
Bergmite,6,Ice,
Avalugg,6,Ice,
Noibat,6,Flying,Dragon
Noivern,6,Flying,Dragon
Xerneas,6,Fairy,
Yveltal,6,Dark,Flying
Zygarde 50% Forme,6,Dragon,Ground
Zygarde 10% Forme,6,Dragon,Ground
Zygarde Complete Forme,6,Dragon,Ground
Diancie,6,Rock,Fairy
Mega Diancie,6,Rock,Fairy
Hoopa Hoopa Confined,6,Psychic,Ghost
Hoopa Hoopa Unbound,6,Psychic,Dark
Volcanion,6,Fire,Water
Rowlet,7,Grass,Flying
Dartrix,7,Grass,Flying
Decidueye,7,Grass,Ghost
Litten,7,Fire,
Torracat,7,Fire,
Incineroar,7,Fire,Dark
Popplio,7,Water,
Brionne,7,Water,
Primarina,7,Water,Fairy
Pikipek,7,Normal,Flying
Trumbeak,7,Normal,Flying
Toucannon,7,Normal,Flying
Yungoos,7,Normal,
Gumshoos,7,Normal,
Grubbin,7,Bug,
Charjabug,7,Bug,Electric
Vikavolt,7,Bug,Electric
Crabrawler,7,Fighting,
Crabominable,7,Fighting,Ice
Oricorio Baile Style,7,Fire,Flying
Oricorio Pom-Pom Style,7,Electric,Flying
Oricorio Pa'u Style,7,Psychic,Flying
Oricorio Sensu Style,7,Ghost,Flying
Cutiefly,7,Bug,Fairy
Ribombee,7,Bug,Fairy
Rockruff,7,Rock,
Own Tempo Rockruff,7,Rock,
Lycanroc Midday Form,7,Rock,
Lycanroc Midnight Form,7,Rock,
Lycanroc Dusk Form,7,Rock,
Wishiwashi Solo Form,7,Water,
Wishiwashi School Form,7,Water,
Mareanie,7,Poison,Water
Toxapex,7,Poison,Water
Mudbray,7,Ground,
Mudsdale,7,Ground,
Dewpider,7,Water,Bug
Araquanid,7,Water,Bug
Fomantis,7,Grass,
Lurantis,7,Grass,
Morelull,7,Grass,Fairy
Shiinotic,7,Grass,Fairy
Salandit,7,Poison,Fire
Salazzle,7,Poison,Fire
Stufful,7,Normal,Fighting
Bewear,7,Normal,Fighting
Bounsweet,7,Grass,
Steenee,7,Grass,
Tsareena,7,Grass,
Comfey,7,Fairy,
Oranguru,7,Normal,Psychic
Passimian,7,Fighting,
Wimpod,7,Bug,Water
Golisopod,7,Bug,Water
Sandygast,7,Ghost,Ground
Palossand,7,Ghost,Ground
Pyukumuku,7,Water,
Type: Null,7,Normal,
Silvally,7,Normal,
Minior Meteor Form,7,Rock,Flying
Minior Core Form,7,Rock,Flying
Komala,7,Normal,
Turtonator,7,Fire,Dragon
Togedemaru,7,Electric,Steel
Mimikyu,7,Ghost,Fairy
Bruxish,7,Water,Psychic
Drampa,7,Normal,Dragon
Dhelmise,7,Ghost,Grass
Jangmo-o,7,Dragon,
Hakamo-o,7,Dragon,Fighting
Kommo-o,7,Dragon,Fighting
Tapu Koko,7,Electric,Fairy
Tapu Lele,7,Psychic,Fairy
Tapu Bulu,7,Grass,Fairy
